t_ns,accx,accy,accz,gyrox,gyroy,gyroz,magx,magy,magz
9425661208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9464155689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9537988691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9604005958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9670507332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9734527032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9804022160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9869760744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9938566990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10005331097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10063050391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10128002930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10189976563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10254461325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10314008828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10373752419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10439470093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10505145898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10570473591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10634760252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10705805928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10769641592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10839171255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10903104273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10972030514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11039317922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11104829660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11169142319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11240408839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11304455189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11373755071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11437786143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11507409461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11571323994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11639986731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11706099376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11774039167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11839587875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11907838007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11973190638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12041560355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12106974530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12171196760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12241536823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12308360681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12400234848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12467559166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12538224007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12609885609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12677870034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12743517807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12805777456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12874264393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12943736689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13007638197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13076448631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13143880460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
