pc_time,type,value
2025-12-18 12:49:24.055,temp_raw,04000000fe03
2025-12-18 12:49:24.805,hr,74
2025-12-18 12:49:25.105,temp_raw,04000000fe03
2025-12-18 12:49:25.916,hr,74
2025-12-18 12:49:26.125,temp_raw,04000000fe03
2025-12-18 12:49:26.875,hr,75
2025-12-18 12:49:27.176,temp_raw,04000000fe03
2025-12-18 12:49:27.988,hr,76
2025-12-18 12:49:28.286,temp_raw,04000000fe03
2025-12-18 12:49:28.934,hr,76
2025-12-18 12:49:29.234,temp_raw,04000000fe03
2025-12-18 12:49:29.984,hr,76
2025-12-18 12:49:30.284,temp_raw,04000000fe03
2025-12-18 12:49:31.034,hr,76
2025-12-18 12:49:31.284,temp_raw,04000000fe03
2025-12-18 12:49:32.084,hr,76
2025-12-18 12:49:32.334,temp_raw,04000000fe03
2025-12-18 12:49:33.084,hr,76
2025-12-18 12:49:33.384,temp_raw,04000000fe03
2025-12-18 12:49:34.134,hr,76
2025-12-18 12:49:34.434,temp_raw,04000000fe03
2025-12-18 12:49:35.184,hr,76
2025-12-18 12:49:35.484,temp_raw,04000000fe03
2025-12-18 12:49:36.234,hr,76
2025-12-18 12:49:36.434,temp_raw,04000000fe03
2025-12-18 12:49:37.284,hr,76
2025-12-18 12:49:37.534,temp_raw,04000000fe03
2025-12-18 12:49:38.334,hr,76
2025-12-18 12:49:38.534,temp_raw,04000000fe03
2025-12-18 12:49:39.234,hr,76
2025-12-18 12:49:39.534,temp_raw,04000000fe03
2025-12-18 12:49:40.284,hr,76
2025-12-18 12:49:40.584,temp_raw,04000000fe03
2025-12-18 12:49:41.384,hr,76
2025-12-18 12:49:41.634,temp_raw,04000000fe03
2025-12-18 12:49:42.384,hr,76
2025-12-18 12:49:42.684,temp_raw,04000000fe03
2025-12-18 12:49:43.484,hr,75
2025-12-18 12:49:43.734,temp_raw,04000000fe03
2025-12-18 12:49:44.484,hr,75
2025-12-18 12:49:44.684,temp_raw,04000000fe03
2025-12-18 12:49:45.584,hr,74
2025-12-18 12:49:45.736,temp_raw,04000000fe03
2025-12-18 12:49:46.584,hr,71
2025-12-18 12:49:46.784,temp_raw,04000000fe03
2025-12-18 12:49:47.484,hr,70
2025-12-18 12:49:47.834,temp_raw,04000000fe03
2025-12-18 12:49:48.534,hr,69
2025-12-18 12:49:48.834,temp_raw,04000000fe03
2025-12-18 12:49:49.584,hr,69
2025-12-18 12:49:49.934,temp_raw,04000000fe03
2025-12-18 12:49:50.634,hr,68
2025-12-18 12:49:50.934,temp_raw,04000000fe03
2025-12-18 12:49:51.736,hr,68
2025-12-18 12:49:52.033,temp_raw,04000000fe03
2025-12-18 12:49:52.734,hr,68
2025-12-18 12:49:52.934,temp_raw,04000000fe03
2025-12-18 12:49:53.684,hr,68
2025-12-18 12:49:53.984,temp_raw,04000000fe03
2025-12-18 12:49:54.734,hr,68
2025-12-18 12:49:55.034,temp_raw,04000000fe03
2025-12-18 12:49:55.734,hr,68
2025-12-18 12:49:56.034,temp_raw,04000000fe03
2025-12-18 12:49:56.786,hr,69
2025-12-18 12:49:57.086,temp_raw,04000000fe03
2025-12-18 12:49:57.834,hr,69
2025-12-18 12:49:58.184,temp_raw,04000000fe03
2025-12-18 12:49:58.884,hr,69
2025-12-18 12:49:59.184,temp_raw,04000000fe03
2025-12-18 12:49:59.934,hr,69
2025-12-18 12:50:00.234,temp_raw,04000000fe03
2025-12-18 12:50:00.984,hr,69
2025-12-18 12:50:01.284,temp_raw,04000000fe03
2025-12-18 12:50:02.034,hr,69
2025-12-18 12:50:02.234,temp_raw,04000000fe03
2025-12-18 12:50:03.084,hr,70
2025-12-18 12:50:03.384,temp_raw,04000000fe03
2025-12-18 12:50:03.984,hr,70
2025-12-18 12:50:04.284,temp_raw,04000000fe03
2025-12-18 12:50:05.034,hr,71
2025-12-18 12:50:05.334,temp_raw,04000000fe03
2025-12-18 12:50:06.083,hr,72
2025-12-18 12:50:06.384,temp_raw,04000000fe03
2025-12-18 12:50:07.184,hr,73
2025-12-18 12:50:07.434,temp_raw,04000000fe03
2025-12-18 12:50:08.184,hr,73
2025-12-18 12:50:08.484,temp_raw,04000000fe03
2025-12-18 12:50:09.284,hr,73
2025-12-18 12:50:09.534,temp_raw,04000000fe03
2025-12-18 12:50:10.284,hr,73
2025-12-18 12:50:10.486,temp_raw,04000000fe03
2025-12-18 12:50:11.384,hr,73
2025-12-18 12:50:11.534,temp_raw,04000000fe03
2025-12-18 12:50:12.284,hr,73
2025-12-18 12:50:12.584,temp_raw,04000000fe03
2025-12-18 12:50:13.334,hr,74
2025-12-18 12:50:13.634,temp_raw,04000000fe03
2025-12-18 12:50:14.334,hr,74
2025-12-18 12:50:14.634,temp_raw,04000000fe03
2025-12-18 12:50:15.384,hr,74
2025-12-18 12:50:15.734,temp_raw,04000000fe03
2025-12-18 12:50:16.434,hr,73
2025-12-18 12:50:16.734,temp_raw,04000000fe03
2025-12-18 12:50:17.485,hr,73
2025-12-18 12:50:17.834,temp_raw,04000000fe03
