pc_time,device_ts,values
2025-12-18 12:49:27.689,1704067201,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
2025-12-18 12:49:27.689,1704067202,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
2025-12-18 12:49:27.689,1704067203,"0,0,0,0,0,0,0,0,0,0,0,0,29776,-16555,-24701,1,0"
2025-12-18 12:49:27.689,1704067204,"255,151,0,0,0,0,0,0,0,0,0,0,132,151,86,1,0"
2025-12-18 12:49:27.689,1704067205,"255,151,0,0,0,0,0,0,0,0"
2025-12-18 12:49:27.884,1704067206,"255,151,0,0,0,0,0,0,0,0,0,0,127,147,111,1,0"
2025-12-18 12:49:27.884,1704067207,"255,151,0,0,0,0,0,0,0,0,0,0,133,151,111,1,0"
2025-12-18 12:49:27.884,1704067208,"255,151,0,0,0,0,0,0,0,0,0,0,127,141,115,1,0"
2025-12-18 12:49:27.884,1704067209,"255,151,0,0,0,0,0,0,0,0,0,0,145,135,122,1,0"
2025-12-18 12:49:27.884,1704067210,"255,151,0,0,0,0,0,0,0,0,0,0,127,149,95,1,0"
2025-12-18 12:49:27.884,1704067211,"255,151,0,0,0,0,0,0,0,0,0,0,126,149,101,1,0"
2025-12-18 12:49:27.884,1704067212,"255,151,0,0,0,0,0,0,0,0,0,0,127,151,99,1,0"
2025-12-18 12:49:27.884,1704067213,"255,1"
2025-12-18 12:49:27.987,1704067214,"255,151,0,0,0,0,0,0,0,0,0,0,126,152,98,1,0"
2025-12-18 12:49:27.987,1704067215,"0,151,0,0,0,0,0,0,0,0,0,0,127,150,100,1,0"
2025-12-18 12:49:27.987,1704067216,"74,151,0,0,0,0,0,0,0,0,0,0,120,154,91,1,0"
2025-12-18 12:49:27.987,1704067217,"74,151,0,0,863,0,0,0,0,0,0,0,121,159,85,1,0"
2025-12-18 12:49:27.987,1704067218,"74,151,0,0,1046,0,0,0,0,0,0,0,122,159,85,1,0"
2025-12-18 12:49:27.987,1704067219,"75,151,0,0,755,0,0,0,0,0,0,0,121,155,85,1,0"
2025-12-18 12:49:28.184,1704067220,"76,151,0,0,904,0,0,0,0,0,0,0,152,153,59,1,0"
2025-12-18 12:49:29.185,1704067221,"76,151,0,0,892,752,0,0,0,0,0,0,130,154,114,1,0"
2025-12-18 12:49:30.235,1704067222,"76,151,0,0,724,0,0,0,0,0,0,0,124,145,119,1,0"
2025-12-18 12:49:31.284,1704067223,"76,151,0,0,792,0,0,0,0,0,0,0,120,146,117,1,0"
2025-12-18 12:49:32.234,1704067224,"76,151,0,0,839,0,0,0,0,0,0,0,119,148,118,1,0"
2025-12-18 12:49:33.384,1704067225,"76,151,0,0,0,0,0,0,0,0,0,0,118,147,117,1,0"
2025-12-18 12:49:34.285,1704067226,"76,151,0,0,791,857,0,0,0,0,0,0,115,148,119,1,0"
2025-12-18 12:49:35.335,1704067227,"76,151,0,0,927,0,0,0,0,0,0,0,117,147,117,1,0"
2025-12-18 12:49:36.385,1704067228,"76,151,0,0,945,0,0,0,0,0,0,0,119,149,114,1,0"
2025-12-18 12:49:37.434,1704067229,"76,151,0,0,0,0,0,0,0,0,0,0,118,148,116,1,0"
2025-12-18 12:49:38.384,1704067230,"76,151,0,0,0,0,0,0,0,0,0,0,113,150,116,1,0"
2025-12-18 12:49:39.434,1704067231,"76,151,0,0,0,0,0,0,0,0,0,0,114,150,114,1,0"
2025-12-18 12:49:40.484,1704067232,"76,151,0,0,0,0,0,0,0,0,0,0,114,148,116,1,0"
2025-12-18 12:49:41.485,1704067233,"76,151,0,0,0,0,0,0,0,0,0,0,113,150,116,1,0"
2025-12-18 12:49:42.534,1704067234,"76,151,0,0,0,0,0,0,0,0,0,0,115,150,116,1,0"
2025-12-18 12:49:43.585,1704067235,"75,151,0,0,0,0,0,0,0,0,0,0,116,149,116,1,0"
2025-12-18 12:49:44.634,1704067236,"75,151,0,0,0,0,0,0,0,0,0,0,114,150,116,1,0"
2025-12-18 12:49:45.686,1704067237,"74,151,0,0,795,0,0,0,0,0,0,0,111,155,109,1,0"
2025-12-18 12:49:46.634,1704067238,"71,151,0,0,912,0,0,0,0,0,0,0,109,155,106,1,0"
2025-12-18 12:49:47.687,1704067239,"70,151,0,0,957,0,0,0,0,0,0,0,113,154,108,1,0"
2025-12-18 12:49:48.684,1704067240,"69,151,0,0,931,829,0,0,0,0,0,0,102,169,87,1,0"
2025-12-18 12:49:49.734,1704067241,"69,151,0,0,898,0,0,0,0,0,0,0,103,178,67,1,0"
2025-12-18 12:49:50.785,1704067242,"68,100,0,0,892,0,0,0,0,0,0,0,103,181,67,1,0"
2025-12-18 12:49:51.835,1704067243,"68,100,0,0,857,0,0,0,0,0,0,0,100,177,67,1,0"
2025-12-18 12:49:52.884,1704067244,"68,100,0,0,0,0,0,0,0,0,0,0,105,178,61,1,0"
2025-12-18 12:49:53.834,1704067245,"68,100,0,0,877,0,0,0,0,0,0,0,106,181,64,1,0"
2025-12-18 12:49:54.984,1704067246,"68,100,0,0,943,0,0,0,0,0,0,0,107,167,84,1,0"
2025-12-18 12:49:55.885,1704067247,"68,100,0,0,975,0,0,0,0,0,0,0,111,168,85,1,0"
2025-12-18 12:49:56.935,1704067248,"69,100,0,0,955,0,0,0,0,0,0,0,107,167,83,1,0"
2025-12-18 12:49:57.984,1704067249,"69,100,0,0,956,0,0,0,0,0,0,0,102,178,80,1,0"
2025-12-18 12:49:59.035,1704067250,"69,151,0,0,831,0,0,0,0,0,0,0,96,170,86,1,0"
2025-12-18 12:49:59.984,1704067251,"69,151,0,0,842,849,0,0,0,0,0,0,131,153,96,1,0"
2025-12-18 12:50:01.034,1704067252,"69,151,0,0,969,0,0,0,0,0,0,0,130,159,80,1,0"
2025-12-18 12:50:02.084,1704067253,"69,151,0,0,1153,0,0,0,0,0,0,0,131,159,78,1,0"
2025-12-18 12:50:03.085,1704067254,"70,151,0,0,844,0,0,0,0,0,0,0,127,161,71,1,0"
2025-12-18 12:50:04.135,1704067255,"70,151,0,0,951,0,0,0,0,0,0,0,130,155,71,1,0"
2025-12-18 12:50:05.185,1704067256,"71,151,0,0,857,0,0,0,0,0,0,0,128,157,74,1,0"
2025-12-18 12:50:06.234,1704067257,"72,151,0,0,776,0,0,0,0,0,0,0,128,162,76,1,0"
2025-12-18 12:50:07.285,1704067258,"73,151,0,0,0,0,0,0,0,0,0,0,130,160,73,1,0"
2025-12-18 12:50:08.235,1704067259,"73,151,0,0,881,0,0,0,0,0,0,0,129,156,76,1,0"
2025-12-18 12:50:09.384,1704067260,"73,151,0,0,825,0,0,0,0,0,0,0,133,154,79,1,0"
2025-12-18 12:50:10.284,1704067261,"73,151,0,0,842,0,0,0,0,0,0,0,131,159,72,1,0"
2025-12-18 12:50:11.385,1704067262,"73,151,0,0,864,0,0,0,0,0,0,0,128,156,70,1,0"
2025-12-18 12:50:12.384,1704067263,"73,151,0,0,0,0,0,0,0,0,0,0,144,135,96,1,0"
2025-12-18 12:50:13.434,1704067264,"74,151,0,0,0,0,0,0,0,0,0,0,137,145,93,1,0"
2025-12-18 12:50:14.384,1704067265,"74,151,0,0,924,0,0,0,0,0,0,0,134,151,87,1,0"
2025-12-18 12:50:15.434,1704067266,"74,151,0,0,0,0,0,0,0,0,0,0,133,153,85,1,0"
2025-12-18 12:50:16.486,1704067267,"73,151,0,0,0,0,0,0,0,0,0,0,133,153,83,1,0"
2025-12-18 12:50:17.485,1704067268,"73,151,0,0,822,0,0,0,0,0,0,0,132,154,83,1,0"
2025-12-18 12:50:18.535,1704067269,"72,151,0,0,820,826,0,0,0,0,0,0,135,163,77,1,0"
2025-12-18 12:50:19.584,1704067270,"71,100,0,0,861,0,0,0,0,0,0,0,89,172,83,1,0"
2025-12-18 12:50:20.634,1704067271,"71,100,0,0,745,0,0,0,0,0,0,0,153,129,97,1,0"
