t_ns,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
36045991457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36165879783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36215826563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36282544899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36349195709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36415869452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36482550761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36549248778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36616755380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36682511275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36749222047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36815965362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36882575425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36949238969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37015946145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37065924914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37132596123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37199242736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37265890520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37332556258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37399228107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37465956011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37516009171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37582560867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37649310020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37715957585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37782687793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37849303287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37915958265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37965979094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38032683154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38099297816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38165998369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38232777189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38299260515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38365906707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38432607140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38499293557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38566017363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38632730250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38699364629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38766001574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38815976777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38882634039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38949293386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39016072776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39082765254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39149362484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39216125945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39265962420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39332755747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39399372873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39466060171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39532929831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39599738757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39666206384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39733032844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39799717637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39866527164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39933202349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39999859211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40066484765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40116555446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40183268003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40249896301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40316593047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
