t_ns,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
36046181200,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
36165919286,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
36215861057,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
36282585236,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
36349235374,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
36415963729,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
36482591807,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
36549286649,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
36616851229,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
36682552713,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
36749266331,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
36816010196,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
36882616543,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
36949279374,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
37015988684,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
37065962905,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
37132637861,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
37199284754,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
37265929162,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
37332595542,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
37399265858,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
37465994874,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
37516052191,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
37582609356,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
37649351117,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
37715995516,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
37782726645,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
37849348020,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
37916002858,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
37966018798,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
38032728047,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
38099334434,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
38166039796,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
38232816493,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
38299316700,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
38365944818,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
38432645572,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
38499334153,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
38566063701,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
38632779903,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
38699407721,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
38766036218,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
38816014427,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
38882675266,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
38949330675,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
39016111889,0.0,1.0,-10.0,0.0,0.0,0.0,1.0
