t_ns,type,sensorId,px,py,pz,qx,qy,qz,qw,server_time_iso
68185345093,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:09.529320+00:00
68280205529,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:09.529720+00:00
68330192864,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:09.629194+00:00
68396843315,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:09.629268+00:00
68463537356,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:09.734381+00:00
68530148861,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:09.834367+00:00
68596821703,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:09.834487+00:00
68663500626,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:09.935853+00:00
68730160383,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:10.016379+00:00
68780169589,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:10.016692+00:00
68846842652,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:10.095955+00:00
68913548886,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:10.176711+00:00
68980246873,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:10.256465+00:00
69046861767,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:10.343945+00:00
69113528397,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:10.343996+00:00
69180322996,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:10.423876+00:00
69230195688,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:10.503551+00:00
69296879720,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:10.584410+00:00
69363591314,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:10.584459+00:00
69430251221,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:10.666592+00:00
69496928070,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:10.754508+00:00
69563619346,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:10.834649+00:00
69630267672,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:10.978720+00:00
69680231023,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:10.978793+00:00
69746930093,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:11.165410+00:00
69813635565,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:11.165493+00:00
69880292347,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:11.165568+00:00
69946982641,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:11.256844+00:00
70013662305,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:11.256902+00:00
70080332872,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:11.342654+00:00
70130302575,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:11.454890+00:00
70196946322,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:11.455044+00:00
70263632689,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:11.544018+00:00
70330305049,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:11.633756+00:00
70396978061,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:11.633878+00:00
70463667574,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:11.724352+00:00
70530350935,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:11.813047+00:00
70580348469,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:11.813101+00:00
70647026091,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:11.892314+00:00
70713724650,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:11.972037+00:00
70780355263,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:12.057471+00:00
70846994219,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:12.138612+00:00
70913642586,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:12.138666+00:00
70980350642,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:12.221150+00:00
71047006071,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:12.292417+00:00
71113711254,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:12.372817+00:00
71180343509,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:12.452925+00:00
71246969233,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:12.532495+00:00
71313711112,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:12.532543+00:00
71380398492,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:12.612252+00:00
71447058659,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:12.699433+00:00
71497120093,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:12.778572+00:00
71563702066,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:12.859487+00:00
71630382662,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:12.859538+00:00
71697071212,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:12.940175+00:00
71763686426,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:13.018453+00:00
71830369266,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:13.097812+00:00
71897073696,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:13.183539+00:00
71947067615,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:13.183591+00:00
72013711182,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:13.263469+00:00
72080416413,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:13.343441+00:00
72147058618,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:13.417392+00:00
72213707153,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:13.497067+00:00
72280407817,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:13.577579+00:00
72347091479,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:13.577644+00:00
72413773256,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:13.659225+00:00
72480441429,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:13.741196+00:00
72547048827,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:13.825356+00:00
72613766604,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:13.905444+00:00
72680461556,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:13.905495+00:00
72747057704,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:28:13.984688+00:00
